ticker,name,sector
005930,삼성전자,반도체
000660,SK하이닉스,반도체
005380,현대차,자동차
000270,기아,자동차
373220,LG에너지솔루션,2차전지
086520,에코프로,2차전지
247540,에코프로비엠,2차전지
006400,삼성SDI,2차전지
096770,SK이노베이션,2차전지
105560,KB금융,금융
055550,신한지주,금융
032830,삼성생명,보험
000810,삼성화재,보험
035420,NAVER,플랫폼
035720,카카오,플랫폼
207940,삼성바이오로직스,바이오
326030,SK바이오팜,바이오
196170,알테오젠,바이오
068270,셀트리온,바이오
091990,셀트리온헬스케어,바이오
145020,휴젤,바이오
214150,클래시스,바이오
141080,레고켐바이오,바이오
053800,안랩,바이오
079940,HLB,바이오
138080,레인보우로보틱스,로봇
298380,에스티팜,바이오
012450,한화에어로스페이스,방산
079550,LIG넥스원,방산
047810,한국항공우주,방산
010140,삼성중공업,조선
042660,한화오션,조선
329180,HD현대중공업,조선
018880,한온시스템,자동차부품
090430,아모레퍼시픽,화장품
051900,LG생활건강,화장품
161890,한국콜마,화장품
298040,효성첨단소재,화학
011170,롯데케미칼,화학
000720,현대건설,건설
006360,GS건설,건설
047040,대우건설,건설
005490,POSCO홀딩스,철강
010130,고려아연,비철금속
017670,SK텔레콤,통신
030200,KT,통신
032640,LG유플러스,통신
034220,LG디스플레이,디스플레이
009150,삼성전기,전자부품
011070,LG이노텍,전자부품
000100,유한양행,제약
128940,한미약품,제약
069620,대웅제약,제약
